0              [763, 957, 406, 973, 1268, 1224, 904, 903, 174, 366, 238, 1219, 1287, 116, 38, 892, 1031, 1155, 1205, 61, 63, 267, 1003, 913, 1388, 173, 970, 1363, 967, 1318, 329, 64, 410, 965, 1106, 1273, 334, 999, 692, 1005, 152, 992, 344, 960, 1000, 1101, 823, 946, 131, 691, 479, 71, 511, 872, 799, 528, 255, 611, 1377, 664, 471, 132, 1076, 635, 807, 333, 649, 129, 1348, 367, 712, 390, 414, 1230, 513, 360, 555, 146, 568, 789, 292, 77, 1291, 1381, 221, 1199, 693, 622, 1150, 48, 1165, 295, 137, 189, 438, 654, 1351, 401, 1247, 694, ...]
1                      [323, 1394, 322, 628, 179, 558, 654, 1273, 1318, 665, 1392, 282, 43, 368, 1160, 571, 625, 1106, 1005, 982, 1212, 553, 901, 1262, 141, 432, 1306, 210, 661, 317, 19, 669, 1150, 397, 64, 1156, 522, 565, 293, 100, 563, 122, 63, 1001, 958, 333, 144, 24, 434, 1393, 34, 871, 159, 153, 1238, 1178, 1263, 437, 1363, 371, 455, 1299, 1, 119, 1191, 189, 666, 92, 294, 1308, 409, 420, 1103, 36, 433, 287, 372, 70, 35, 687, 872, 945, 1203, 109, 48, 347, 688, 1377, 570, 622, 1376, 1105, 233, 259, 328, 353, 1257, 6, 552, 463, ...]
2                      [323, 322, 628, 1394, 179, 558, 1392, 654, 282, 665, 901, 43, 432, 1005, 982, 669, 141, 397, 625, 553, 661, 210, 1212, 1262, 100, 563, 1106, 1160, 1306, 1280, 153, 565, 368, 571, 871, 294, 293, 434, 1236, 144, 34, 1103, 958, 317, 35, 119, 1001, 965, 1299, 1393, 287, 437, 353, 498, 24, 92, 1105, 64, 872, 331, 961, 433, 1203, 463, 122, 552, 1184, 48, 660, 371, 687, 346, 6, 1111, 1322, 1257, 1191, 815, 570, 1, 259, 978, 157, 1150, 1377, 1238, 622, 521, 19, 420, 268, 926, 347, 1365, 783, 54, 1273, 342, 101, 97, ...]
3                     [1077, 1221, 667, 196, 266, 1190, 1220, 578, 774, 52, 1235, 138, 1272, 267, 207, 8, 341, 268, 111, 503, 529, 665, 1263, 60, 1081, 652, 1281, 1308, 991, 1255, 970, 269, 338, 406, 1376, 1252, 1228, 1039, 227, 1005, 298, 607, 1180, 807, 78, 455, 1380, 314, 297, 72, 192, 188, 148, 992, 32, 656, 808, 659, 26, 663, 271, 1394, 24, 6, 1075, 1110, 662, 164, 775, 603, 1301, 318, 87, 518, 416, 185, 407, 1080, 860, 916, 539, 720, 369, 79, 486, 1106, 401, 113, 412, 624, 958, 62, 159, 370, 1299, 688, 964, 1280, 1390, 689, ...]
4                     [737, 3, 381, 324, 241, 291, 230, 460, 1191, 375, 2, 471, 628, 490, 110, 231, 1224, 1354, 842, 457, 526, 394, 478, 15, 247, 335, 980, 377, 1148, 374, 1005, 1301, 320, 338, 459, 1181, 1245, 1241, 1300, 898, 321, 1393, 555, 456, 492, 265, 1280, 53, 134, 1383, 1387, 1075, 636, 976, 744, 1022, 22, 1240, 1374, 1223, 260, 584, 91, 458, 1310, 1, 958, 308, 306, 703, 663, 293, 1316, 1260, 888, 348, 403, 944, 405, 676, 497, 1227, 191, 670, 72, 154, 561, 92, 1259, 1373, 1365, 783, 157, 558, 62, 16, 1382, 474, 322, 239, ...]
5                            [1365, 2, 1385, 1224, 61, 54, 291, 434, 72, 753, 3, 377, 1226, 387, 558, 48, 193, 1055, 1004, 375, 1181, 403, 578, 1280, 850, 965, 394, 527, 832, 53, 651, 405, 93, 381, 1374, 368, 526, 457, 786, 729, 239, 335, 1369, 1370, 1381, 783, 652, 538, 1223, 1300, 320, 636, 539, 10, 1182, 838, 322, 22, 835, 497, 225, 976, 537, 661, 459, 134, 1354, 132, 346, 703, 1, 230, 127, 277, 568, 35, 983, 240, 325, 1083, 586, 460, 555, 1310, 675, 473, 1220, 797, 961, 374, 1227, 761, 631, 1322, 220, 690, 488, 491, 813, 247, ...]
6 [1399, 1397, 1129, 1398, 418, 1357, 1356, 1396, 887, 1069, 399, 1395, 1177, 1358, 392, 1115, 1120, 411, 1175, 885, 1036, 837, 1292, 1386, 886, 2, 3, 388, 663, 387, 1049, 1176, 1128, 65, 658, 179, 914, 1047, 1131, 417, 861, 956, 740, 862, 1132, 738, 483, 728, 641, 1012, 942, 1145, 1172, 1106, 14, 825, 1243, 1359, 397, 30, 760, 1250, 931, 1130, 759, 863, 1118, 884, 768, 896, 819, 108, 64, 1173, 826, 735, 1052, 736, 955, 256, 1, 643, 610, 928, 1369, 1125, 739, 323, 856, 1051, 1171, 1126, 1059, 927, 1041, 1391, 830, 821, 1030, 259, ...]
7             [399, 1398, 1397, 392, 387, 411, 658, 1120, 2, 3, 417, 1399, 1036, 388, 663, 483, 397, 1386, 942, 179, 862, 1243, 1007, 418, 108, 64, 863, 1396, 1047, 1049, 825, 1250, 646, 1358, 424, 1395, 928, 1357, 939, 323, 732, 1356, 738, 1, 1050, 452, 838, 736, 1129, 659, 1105, 914, 1106, 887, 861, 1362, 14, 956, 1172, 853, 550, 643, 1030, 1118, 453, 641, 1012, 88, 254, 955, 896, 740, 610, 1301, 164, 819, 735, 894, 1116, 256, 698, 30, 396, 1126, 760, 1130, 759, 115, 884, 768, 134, 927, 628, 1145, 365, 917, 826, 390, 821, 1173, ...]
8         [1311, 1285, 316, 235, 258, 1297, 395, 174, 109, 1313, 1314, 139, 1138, 655, 1156, 400, 1032, 1010, 1155, 238, 404, 574, 1295, 1081, 872, 304, 1263, 138, 1251, 328, 1256, 743, 536, 828, 1312, 539, 169, 301, 317, 1273, 571, 1008, 569, 1315, 1318, 892, 662, 309, 73, 182, 122, 1229, 1252, 1054, 904, 455, 409, 25, 1226, 1293, 850, 333, 36, 572, 1308, 177, 116, 222, 610, 62, 189, 282, 1160, 1316, 1310, 567, 84, 522, 665, 382, 1247, 549, 493, 1157, 487, 123, 443, 9, 1309, 100, 1009, 372, 331, 159, 166, 905, 23, 756, 326, 575, ...]
9         [1379, 1123, 1187, 637, 367, 747, 278, 225, 1290, 1255, 700, 673, 224, 565, 815, 1348, 430, 234, 698, 1354, 711, 450, 682, 697, 968, 1343, 649, 707, 833, 1238, 1344, 415, 69, 793, 1342, 1245, 359, 512, 1162, 1340, 670, 779, 163, 810, 140, 703, 1033, 566, 1217, 993, 1168, 1135, 796, 791, 970, 366, 339, 1351, 76, 623, 0, 1339, 464, 264, 199, 757, 311, 414, 677, 1265, 1352, 924, 1211, 892, 1333, 1257, 518, 146, 1380, 356, 245, 1331, 232, 534, 212, 1346, 123, 56, 990, 84, 1350, 85, 203, 699, 1288, 771, 919, 1218, 1299, 631, ...]0              [763, 957, 406, 973, 1268, 1224, 904, 903, 174, 366, 238, 1219, 1287, 116, 38, 892, 1031, 1155, 1205, 61, 63, 267, 1003, 913, 1388, 173, 970, 1363, 967, 1318, 329, 64, 410, 965, 1106, 1273, 334, 999, 692, 1005, 152, 992, 344, 960, 1000, 1101, 823, 946, 131, 691, 479, 71, 511, 872, 799, 528, 255, 611, 1377, 664, 471, 132, 1076, 635, 807, 333, 649, 129, 1348, 367, 712, 390, 414, 1230, 513, 360, 555, 146, 568, 789, 292, 77, 1291, 1381, 221, 1199, 693, 622, 1150, 48, 1165, 295, 137, 189, 438, 654, 1351, 401, 1247, 694, ...]
